Country,Year,Total,Female,% female,Source
Algeria,2001,"1,023,799","41,793",4.10%,Agricultural Census
American Samoa,2008,"5,840","1,133",19.40%,Agricultural Census
Argentina,2002,"202,423","32,768",16.20%,Agricultural Census
Armenia,2007,NA,NA,29.70%,Household Integrated Living Conditions Survey
Austria,2010,"150,170","51,780",34.50%,Eurostat
Bangladesh,2008,"28,695,763","1,322,937",4.60%,Agricultural Census
Belgium,2010,"42,850","6,450",15.10%,Eurostat
Belize,2003,"9,697",790,8.10%,Website Ministry of Agriculture
Botswana,2004,"50,690","17,576",34.70%,Agricultural Census
Brazil,2006,"5,175,636","656,255",12.70%,Agricultural Census
Bulgaria,2010,"370,490","84,350",22.80%,Eurostat
Burkina Faso,1993,"886,638","74,559",8.40%,Agricultural Census
Canada,2011,"293,925","80,665",27.40%,Agricultural Census
Cape Verde,2004,"44,450","22,461",50.50%,Agricultural Census
Chile,2007,"268,787","80,255",29.90%,Agricultural Census
Comoros,2004,"52,464","17,094",32.60%,Agricultural Census
Croatia,2010,"233,280","51,400",22.00%,Eurostat
Cyprus,2010,"38,860","8,010",20.60%,Eurostat
Czech Republic,2010,"22,860","3,450",15.10%,Eurostat
C™te d'Ivoire,2001,"1,117,667","111,312",10.10%,Agricultural Census
Democratic Republic of the Congo,1990,"4,479,600","398,400",8.90%,Agricultural Census
Denmark,2010,"42,100","3,770",9.00%,Eurostat
Dominican Republic,1998,"243,104","24,772",10.20%,Registro Nacional de Productores
Ecuador,2000,"842,882","213,731",25.40%,Agricultural Census
Egypt,1999,"4,537,319","236,632",5.20%,Agricultural Census
El Salvador,2007,"395,588","45,676",11.50%,Agricultural Census
Estonia,2010,"19,610","7,020",35.80%,Eurostat
Ethiopia,2011-2012,"14,747,439","2,836,154",19.20%,Agricultural Sample Survey
Fiji,2009,"65,033","2,326",3.60%,Agricultural Census
Finland,2010,"63,870","7,100",11.10%,Eurostat
France,2010,"516,100","117,120",22.70%,Eurostat
Gambia,2001-2002,"69,140","5,731",8.30%,Agricultural Census
Georgia,2004,"728,950","211,800",29.10%,Agricultural Census
Germany,2010,"299,130","25,220",8.40%,Eurostat
Greece,2010,"723,060","200,070",27.70%,Eurostat
Guam,2007,104,13,12.50%,Agricultural Census
