Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,13824.4304,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,2866.8883,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,11762.1934,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,5,American Samoa,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,4.5862,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,6,Andorra,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,7,Angola,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,31143.208,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,258,Anguilla,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,8,Antigua and Barbuda,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,19.1474,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,9,Argentina,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,112150.7246,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,1454.474,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,22,Aruba,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,10,Australia,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,132543.1483,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,11,Austria,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,6782.9976,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,52,Azerbaijan,7231,Emissions (CO2eq),1711,Agriculture total,2016,2016,gigagrams,6505.3355,A,"Aggregate, may include official, semi-official, estimated or calculated data"
