Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
MK,Macro Indicators,2,Afghanistan,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,20235.06333,XAM,Data from UNSD AMA
MK,Macro Indicators,2,Afghanistan,6110,Value US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,millions,4663.742652,XAM,Data from UNSD AMA
MK,Macro Indicators,3,Albania,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11863.86679,XAM,Data from UNSD AMA
MK,Macro Indicators,3,Albania,6110,Value US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,millions,2356.333746,XAM,Data from UNSD AMA
MK,Macro Indicators,4,Algeria,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,159049.1452,XAM,Data from UNSD AMA
MK,Macro Indicators,4,Algeria,6110,Value US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,millions,19556.2868,XAM,Data from UNSD AMA
MK,Macro Indicators,6,Andorra,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2858.406626,XAM,Data from UNSD AMA
MK,Macro Indicators,6,Andorra,6110,Value US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,millions,14.708233,XAM,Data from UNSD AMA
MK,Macro Indicators,7,Angola,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,106917.5358,XAM,Data from UNSD AMA
MK,Macro Indicators,7,Angola,6110,Value US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,millions,8727.809692,XAM,Data from UNSD AMA
MK,Macro Indicators,258,Anguilla,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,337.52047,XAM,Data from UNSD AMA
MK,Macro Indicators,258,Anguilla,6110,Value US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,millions,8.462921,XAM,Data from UNSD AMA
MK,Macro Indicators,8,Antigua and Barbuda,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1460.157909,XAM,Data from UNSD AMA
