"¥éË""COU""",Country,IND,Indicator,SEX,AGE,Age Group,TIME,Unit Code,Unit,PowerCode Code,PowerCode,Value
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,5.9
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,5.8
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,5.4
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,4.9
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,4.6
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,4.5
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,4.3
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,4.2
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,4.2
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,4.1
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,4
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,3.6
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,3.4
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,3.4
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,3
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,2.6
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,2.7
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,2.4
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,2.4
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,2.3
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,2.2
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,2.2
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,2.3
AUS,Australia,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,1.9
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,30.4
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,29.6
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,29.9
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,29.9
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,30.6
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,30.6
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,31.2
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,31.2
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,31.8
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,31.3
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,31.1
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,31
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,10.2
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,9.5
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,9.5
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,9.6
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,9.4
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,9.3
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,9.5
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,9.4
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,9.3
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,8.9
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,8.6
AUS,Australia,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,8.5
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,63.2
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,64.3
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,64.3
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,64.8
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,64.4
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,64.5
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,64.5
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,64.6
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,64
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,64.3
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,64.6
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,65.1
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,85.9
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,86.8
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,87.2
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,87.7
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,87.6
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,88
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,88.1
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,88.3
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,88.4
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,88.7
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,88.8
AUS,Australia,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,89.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,5.8
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,5.4
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,5.5
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,4.9
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,5.4
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,5.4
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,5.4
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,6.4
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,6.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,6
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,5.8
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,4.8
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,5.3
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,5.6
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,5.2
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,5
AUT,Austria,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,4.7
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,42.4
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,41.6
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,41.8
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,41.8
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,37.8
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,39.7
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,40.4
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,39.2
